idMso,Label,BitmapPath,PngPath,Source
AddIns,Add-ins...,E:\Sripts\Leaner tracking\Practical\Images\Access\AddIns.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\AddIns.png,Local Access VBA GetImageMso:AddInManager
AdvancedFilterOptions,AdvancedFilterOptions,E:\Sripts\Leaner tracking\Practical\Images\Access\AdvancedFilterOptions.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\AdvancedFilterOptions.png,Local Access VBA GetImageMso:SortAndFilterAdvanced
AlignCenter,Centre,E:\Sripts\Leaner tracking\Practical\Images\Access\AlignCenter.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\AlignCenter.png,Local Access VBA GetImageMso:AlignCenter
AlignLeft,Align Left,E:\Sripts\Leaner tracking\Practical\Images\Access\AlignLeft.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\AlignLeft.png,Local Access VBA GetImageMso:AlignLeft
AlignRight,Align Right,E:\Sripts\Leaner tracking\Practical\Images\Access\AlignRight.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\AlignRight.png,Local Access VBA GetImageMso:AlignRight
AnalyzePerformance,AnalyzePerformance,E:\Sripts\Leaner tracking\Practical\Images\Access\AnalyzePerformance.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\AnalyzePerformance.png,Local Access VBA GetImageMso:DatabaseAnalyzePerformance
AnalyzeTable,AnalyzeTable,E:\Sripts\Leaner tracking\Practical\Images\Access\AnalyzeTable.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\AnalyzeTable.png,Local Access VBA GetImageMso:DatabaseAnalyzeTable
Anchoring,Anchoring,E:\Sripts\Leaner tracking\Practical\Images\Access\Anchoring.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\Anchoring.png,Local Access VBA GetImageMso:ControlAdvancedProperties
ApplicationPartsGallery,ApplicationPartsGallery,E:\Sripts\Leaner tracking\Practical\Images\Access\ApplicationPartsGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ApplicationPartsGallery.png,Local Access VBA GetImageMso:CreateFormInDesignView
BackColorPicker,Shape Fill,E:\Sripts\Leaner tracking\Practical\Images\Access\BackColorPicker.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\BackColorPicker.png,Local Access VBA GetImageMso:ShapeFillColorPicker
BlankForm,BlankForm,E:\Sripts\Leaner tracking\Practical\Images\Access\BlankForm.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\BlankForm.png,Local Access VBA GetImageMso:CreateFormInDesignView
BlankReport,BlankReport,E:\Sripts\Leaner tracking\Practical\Images\Access\BlankReport.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\BlankReport.png,Local Access VBA GetImageMso:CreateReportInDesignView
Bold,Bold,E:\Sripts\Leaner tracking\Practical\Images\Access\Bold.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\Bold.png,Local Access VBA GetImageMso:Bold
Builder,Run Dialogue,E:\Sripts\Leaner tracking\Practical\Images\Access\Builder.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\Builder.png,Local Access VBA GetImageMso:RunDialog
ClassModuleInsert,ClassModuleInsert,E:\Sripts\Leaner tracking\Practical\Images\Access\ClassModuleInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ClassModuleInsert.png,Local Access VBA GetImageMso:CreateClassModule
CollectDataByEmail,CollectDataByEmail,E:\Sripts\Leaner tracking\Practical\Images\Access\CollectDataByEmail.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\CollectDataByEmail.png,Local Access VBA GetImageMso:MailMergeStart
CompactRepairDatabase,CompactRepairDatabase,E:\Sripts\Leaner tracking\Practical\Images\Access\CompactRepairDatabase.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\CompactRepairDatabase.png,Local Access VBA GetImageMso:FileCompactAndRepairDatabase
ConditionalFormatting,ConditionalFormatting,E:\Sripts\Leaner tracking\Practical\Images\Access\ConditionalFormatting.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ConditionalFormatting.png,Local Access VBA GetImageMso:FontConditionalFormatting
ControlButton,Button,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlButton.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlButton.png,Local Access VBA GetImageMso:FormControlButton
ControlChart,ControlChart,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlChart.bmp,E:\Sripts\Leaner tracking\Practical\Images\Access\ControlChart.png,Local Access VBA GetImageMso:ControlChart
