idMso,Label,BitmapPath,PngPath,Source
AccessibilityChecker,Check Accessibility,E:\Sripts\Leaner tracking\Practical\Images\Excel\AccessibilityChecker.bmp,E:\Sripts\Leaner tracking\Practical\Images\Excel\AccessibilityChecker.png,Local Excel VBA GetImageMso:AccessibilityChecker
AccountingNumberFormat,Accounting Number Format,E:\Sripts\Leaner tracking\Practical\Images\Excel\AccountingNumberFormat.bmp,E:\Sripts\Leaner tracking\Practical\Images\Excel\AccountingNumberFormat.png,Local Excel VBA GetImageMso:AccountingFormat
AdvancedFilterDialog,Advanced...,E:\Sripts\Leaner tracking\Practical\Images\Excel\AdvancedFilterDialog.bmp,E:\Sripts\Leaner tracking\Practical\Images\Excel\AdvancedFilterDialog.png,Local Excel VBA GetImageMso:AdvancedFilterDialog
AlignBottomExcel,Bottom Align,E:\Sripts\Leaner tracking\Practical\Images\Excel\AlignBottomExcel.bmp,E:\Sripts\Leaner tracking\Practical\Images\Excel\AlignBottomExcel.png,Local Excel VBA GetImageMso:AlignBottomExcel
AlignCenter,Centre,E:\Sripts\Leaner tracking\Practical\Images\Excel\AlignCenter.bmp,E:\Sripts\Leaner tracking\Practical\Images\Excel\AlignCenter.png,Local Excel VBA GetImageMso:AlignCenter
AlignLeft,Align Left,E:\Sripts\Leaner tracking\Practical\Images\Excel\AlignLeft.bmp,E:\Sripts\Leaner tracking\Practical\Images\Excel\AlignLeft.png,Local Excel VBA GetImageMso:AlignLeft
AlignMiddleExcel,Middle Align,E:\Sripts\Leaner tracking\Practical\Images\Excel\AlignMiddleExcel.bmp,E:\Sripts\Leaner tracking\Practical\Images\Excel\AlignMiddleExcel.png,Local Excel VBA GetImageMso:AlignMiddleExcel
AlignRight,Align Right,E:\Sripts\Leaner tracking\Practical\Images\Excel\AlignRight.bmp,E:\Sripts\Leaner tracking\Practical\Images\Excel\AlignRight.png,Local Excel VBA GetImageMso:AlignRight
AlignTopExcel,Top Align,E:\Sripts\Leaner tracking\Practical\Images\Excel\AlignTopExcel.bmp,E:\Sripts\Leaner tracking\Practical\Images\Excel\AlignTopExcel.png,Local Excel VBA GetImageMso:AlignTopExcel
AllowEditRanges,AllowEditRanges,E:\Sripts\Leaner tracking\Practical\Images\Excel\AllowEditRanges.bmp,E:\Sripts\Leaner tracking\Practical\Images\Excel\AllowEditRanges.png,Local Excel VBA GetImageMso:ReviewAllowUsersToEditRanges
