idMso,Label,BitmapPath,PngPath,Source
AcceptChange,Accept This Change,E:\Sripts\Leaner tracking\Practical\Images\Word\AcceptChange.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\AcceptChange.png,Local Word VBA GetImageMso:ReviewAcceptChange
AddIns,Document Template,E:\Sripts\Leaner tracking\Practical\Images\Word\AddIns.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\AddIns.png,Local Word VBA GetImageMso:AddInManager
AddTextToTableOfContents,Table of Contents,E:\Sripts\Leaner tracking\Practical\Images\Word\AddTextToTableOfContents.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\AddTextToTableOfContents.png,Local Word VBA GetImageMso:TableOfContentsGallery
AlignCenter,Centre,E:\Sripts\Leaner tracking\Practical\Images\Word\AlignCenter.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\AlignCenter.png,Local Word VBA GetImageMso:AlignCenter
AlignJustify,Justify,E:\Sripts\Leaner tracking\Practical\Images\Word\AlignJustify.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\AlignJustify.png,Local Word VBA GetImageMso:AlignJustify
AlignLeft,Align Left,E:\Sripts\Leaner tracking\Practical\Images\Word\AlignLeft.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\AlignLeft.png,Local Word VBA GetImageMso:AlignLeft
AlignRight,Align Right,E:\Sripts\Leaner tracking\Practical\Images\Word\AlignRight.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\AlignRight.png,Local Word VBA GetImageMso:AlignRight
BibliographyGallery,Bibliography,E:\Sripts\Leaner tracking\Practical\Images\Word\BibliographyGallery.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\BibliographyGallery.png,Local Word VBA GetImageMso:BibliographyGallery
Bold,Bold,E:\Sripts\Leaner tracking\Practical\Images\Word\Bold.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\Bold.png,Local Word VBA GetImageMso:Bold
BookmarkInsert,Bookmark...,E:\Sripts\Leaner tracking\Practical\Images\Word\BookmarkInsert.bmp,E:\Sripts\Leaner tracking\Practical\Images\Word\BookmarkInsert.png,Local Word VBA GetImageMso:BookmarkInsert
